left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.053,35.142,129.054,35.143,588,0.3333333333333333,0.4789915966386555,0.0,0.0,0.0,0.5,0.17312911887923096,1.4854540488512198,14
129.034,35.153,129.035,35.154,990,0.0,0.17366946778711484,0.0,1.0,0.0,0.23529411764705882,0.07407835934223277,1.4830419447764065,15
129.033,35.168,129.034,35.169,994,0.0,0.13165266106442577,0.0,1.0,0.0,0.2647058823529412,0.07172092619643348,1.4680794696138004,16
129.066,35.151,129.067,35.152,1375,0.0,0.3081232492997199,0.0,0.0,0.0,0.5588235294117647,0.600735673411143,1.4676824521226277,17
129.035,35.164,129.036,35.165,1196,0.0,0.18487394957983194,0.0,1.0,0.0,0.22058823529411764,0.06076295985614355,1.466225144730093,18
129.056,35.146,129.057,35.147,1520,0.0,0.13725490196078433,0.0,1.0,0.0,0.0,0.32703238216449965,1.4642872841252839,19
129.039,35.152,129.04,35.153,1467,0.0,0.3753501400560224,0.0,0.0,0.0,0.75,0.33358884244729525,1.4589389825033177,20
129.046,35.155,129.047,35.156,772,0.3333333333333333,0.30532212885154064,0.0,0.0,0.0,0.6029411764705882,0.2092185759946777,1.4508152146501399,21
129.033,35.168,129.034,35.169,1156,0.0,0.13165266106442577,0.0,1.0,0.0,0.2647058823529412,0.04283393353870481,1.4391924769560718,22
129.069,35.149,129.07,35.15,194,0.0,0.27450980392156865,0.0,0.0,0.0,1.0,0.16400792560345948,1.438517729525028,23
129.043,35.167,129.044,35.168,1087,0.3333333333333333,0.22128851540616246,0.0,0.0,0.0,0.7058823529411764,0.1726566680647354,1.4331608697454077,24
129.047,35.157,129.048,35.158,623,0.0,0.12044817927170869,0.0,1.0,0.0,0.14705882352941177,0.15535918314218358,1.422866185943304,25
129.067,35.154,129.068,35.155,568,0.0,0.13165266106442577,0.0,1.0,0.0,0.1764705882352941,0.11175872226159311,1.419881971561313,26
129.053,35.148,129.054,35.149,388,0.3333333333333333,0.3165266106442577,0.0,0.0,0.25,0.38235294117647056,0.13554035356676258,1.417753238720824,27
129.043,35.167,129.044,35.168,1122,0.3333333333333333,0.22128851540616246,0.0,0.0,0.0,0.7058823529411764,0.1542310862994085,1.4147352879800807,28
129.063,35.169,129.064,35.17,216,0.3333333333333333,0.15406162464985995,0.0,0.0,0.0,0.7058823529411764,0.21383220282602722,1.407109513750397,29
129.053,35.148,129.054,35.149,1424,0.3333333333333333,0.3165266106442577,0.0,0.0,0.25,0.38235294117647056,0.11218296380930341,1.394395848963365,30
129.07,35.158,129.071,35.159,649,0.0,0.24089635854341737,0.0,0.0,0.0,0.8088235294117647,0.34014530273009075,1.3898651906852728,31
129.039,35.169,129.04,35.17,143,0.0,0.09243697478991597,0.0,1.0,0.0,0.14705882352941177,0.14722627983550998,1.3867220781548377,32
129.025,35.15,129.026,35.151,630,0.0,0.226890756302521,0.0,0.0,0.25,0.6764705882352942,0.2328025493060276,1.3861638938438425,33
129.057,35.166,129.058,35.167,519,0.0,0.1876750700280112,1.0,0.0,0.0,0.014705882352941176,0.1826118816558919,1.3849928340368443,34
129.052,35.16,129.053,35.161,663,1.0,0.21288515406162464,0.0,0.0,0.0,0.11764705882352941,0.04601574514653207,1.3765479580316862,35
129.035,35.15,129.036,35.151,928,0.0,0.29971988795518206,0.0,0.0,0.0,0.8676470588235294,0.20024201051926202,1.3676089572979735,36
129.058,35.166,129.059,35.167,467,0.0,0.1988795518207283,0.9692307692307693,0.0,0.0,0.044117647058823525,0.1518784740802877,1.3641064421906088,37
129.042,35.163,129.043,35.164,710,0.0,0.5938375350140056,0.0,0.0,0.0,0.5441176470588235,0.22200367354612904,1.3599588556189581,38
129.072,35.152,129.073,35.153,376,0.3333333333333333,0.1792717086834734,0.0,0.0,0.0,0.7647058823529411,0.056665172179396324,1.333976096549144,39
129.047,35.157,129.048,35.158,1512,0.0,0.12044817927170869,0.0,1.0,0.0,0.14705882352941177,0.05468377131452208,1.3221907741156425,40
129.042,35.167,129.043,35.168,331,0.0,0.23249299719887956,0.0,0.0,0.0,0.8970588235294118,0.1922923024263724,1.3218441231546638,41
129.037,35.152,129.038,35.153,1088,0.0,0.2969187675070028,0.0,0.0,0.0,0.8529411764705882,0.17091631353378745,1.3207762575113784,42
129.067,35.156,129.068,35.157,1395,0.3333333333333333,0.2184873949579832,0.0,0.0,0.0,0.6176470588235294,0.13961885753679573,1.3090866446516418,43
129.056,35.152,129.057,35.153,1098,0.0,0.09243697478991597,0.0,1.0,0.0,0.1764705882352941,0.03858669713492328,1.3074942601601336,44
129.068,35.149,129.069,35.15,1090,0.0,0.31932773109243695,0.0,0.0,0.0,0.7941176470588235,0.1864107718785705,1.2998561500298311,45
129.067,35.16,129.068,35.161,195,0.3333333333333333,0.24369747899159663,0.0,0.0,0.0,0.5882352941176471,0.1334384295349252,1.298704535977502,46
129.036,35.149,129.037,35.15,41,0.0,0.2605042016806723,0.0,0.0,0.0,0.5882352941176471,0.4497490707663827,1.2984885665647021,47
129.067,35.156,129.068,35.157,547,0.3333333333333333,0.2184873949579832,0.0,0.0,0.0,0.6176470588235294,0.12790882663465572,1.2973766137495018,48
129.046,35.158,129.047,35.159,117,0.0,0.2549019607843137,0.0,0.0,0.0,0.8382352941176471,0.20133153994860892,1.2944687948505698,49
129.057,35.166,129.058,35.167,1374,0.0,0.1876750700280112,1.0,0.0,0.0,0.014705882352941176,0.08752874477532072,1.2899096971562731,50
129.042,35.167,129.043,35.168,364,0.0,0.23249299719887956,0.0,0.0,0.0,0.8970588235294118,0.14386127301389873,1.2734130937421901,51
129.075,35.171,129.076,35.172,1093,0.0,0.29411764705882354,0.0,0.0,0.0,0.7794117647058824,0.19580193704833943,1.2693313488130453,52
129.06,35.146,129.061,35.147,1142,0.0,0.40896358543417366,0.0,0.0,0.0,0.38235294117647056,0.46852658017924204,1.2598431067898863,53
129.025,35.15,129.026,35.151,576,0.0,0.226890756302521,0.0,0.0,0.25,0.6764705882352942,0.10502388769169209,1.258385232229507,54
129.038,35.152,129.039,35.153,1031,0.0,0.1288515406162465,0.0,0.0,0.0,0.6617647058823529,0.46004174922503605,1.2506579957236355,55
129.068,35.172,129.069,35.173,164,0.0,0.06442577030812326,0.0,1.0,0.0,0.1764705882352941,0.008605354121169171,1.2495017126645867,56
129.04,35.166,129.041,35.167,896,0.3333333333333333,0.23249299719887956,0.0,0.0,0.0,0.5147058823529411,0.16318354714143152,1.2437157600265856,57
129.067,35.163,129.068,35.164,1014,0.3333333333333333,0.27170868347338933,0.0,0.0,0.0,0.3088235294117647,0.3296453244242608,1.2435108706427482,58
129.071,35.15,129.072,35.151,597,0.0,0.11484593837535013,0.0,0.0,0.0,0.9411764705882353,0.18745691296781067,1.2434793219313962,59
129.021,35.148,129.022,35.149,169,0.3333333333333333,0.008403361344537815,0.0,0.0,0.25,0.5588235294117647,0.08838204879741984,1.2389422728870556,60
129.036,35.149,129.037,35.15,145,0.0,0.2605042016806723,0.0,0.0,0.0,0.5882352941176471,0.3892560828042366,1.237995578602556,61
129.044,35.167,129.045,35.168,306,0.3333333333333333,0.10644257703081232,0.0,0.0,0.0,0.6029411764705882,0.19228266057301535,1.2349997474077492,62
129.072,35.151,129.073,35.152,496,0.0,0.257703081232493,0.0,0.0,0.0,0.8676470588235294,0.10538545719258155,1.230735597248604,63
129.072,35.15,129.073,35.151,39,0.0,0.226890756302521,0.0,0.0,0.0,0.8970588235294118,0.10554936869965144,1.2294989485315841,64
129.075,35.17,129.076,35.171,110,0.0,0.24369747899159663,0.0,0.0,0.0,0.8382352941176471,0.14740465412261544,1.2293374272318591,65
129.073,35.172,129.074,35.173,1272,0.0,0.22969187675070027,0.0,0.0,0.0,0.7941176470588235,0.20452299340979324,1.228332517219317,66
129.072,35.171,129.073,35.172,1168,0.0,0.2857142857142857,0.0,0.0,0.0,0.7647058823529411,0.17558297055860075,1.2260031386258274,67
129.058,35.166,129.059,35.167,392,0.0,0.1988795518207283,0.9692307692307693,0.0,0.0,0.044117647058823525,0.01287187423166481,1.225099842341986,68
129.021,35.155,129.022,35.156,1089,0.0,0.022408963585434174,0.0,1.0,0.0,0.0,0.19345896668257573,1.2158679302680098,69
129.061,35.143,129.062,35.144,1411,0.0,0.4425770308123249,0.0,0.0,0.0,0.5588235294117647,0.20207396265710195,1.2034745228811916,70
